Open,High,Low,Close
1881.2900390625,1882.68994140625,1873.1800537109373,1881.97998046875
1881.9000244140625,1883.1099853515625,1874.3199462890625,1876.9100341796875
1877.300048828125,1877.6099853515625,1860.77001953125,1869.949951171875
1870.0999755859373,1876.0999755859373,1869.1800537109373,1871.4100341796875
1871.5999755859373,1877.1500244140625,1863.510009765625,1867.81005859375
1868.0999755859373,1879.6400146484373,1866.5699462890625,1879.199951171875
1879.6500244140625,1880.4000244140625,1873.300048828125,1874.3800048828125
1874.6400146484373,1880.7900390625,1872.199951171875,1879.280029296875
1879.280029296875,1886.8800048828125,1877.510009765625,1886.75
1887.0999755859373,1908.1099853515625,1887.0,1894.6400146484373
1894.72998046875,1894.72998046875,1885.0899658203125,1886.6600341796875
1886.8199462890625,1887.8900146484373,1878.4599609375,1886.6600341796875
1886.68994140625,1887.1199951171875,1878.8499755859373,1882.4000244140625
1882.260009765625,1883.3699951171875,1875.1199951171875,1882.760009765625
1882.199951171875,1884.4300537109373,1870.1600341796875,1870.7099609375
1872.47998046875,1873.510009765625,1846.5899658203125,1854.9000244140625
1856.6400146484373,1861.0799560546875,1847.1700439453125,1860.8800048828125
1860.4200439453125,1867.6199951171875,1852.0799560546875,1860.0
1860.0400390625,1864.5,1851.5999755859373,1855.6600341796875
1855.5400390625,1865.0,1853.0999755859373,1864.9000244140625
1865.0699462890625,1865.0699462890625,1856.6600341796875,1860.800048828125
1861.43994140625,1862.6199951171875,1856.1700439453125,1862.030029296875
1861.9000244140625,1863.6700439453125,1856.56005859375,1859.22998046875
1859.2099609375,1859.6400146484373,1855.3599853515625,1855.6199951171875
1855.6199951171875,1859.969970703125,1855.02001953125,1857.6800537109373
1857.6700439453125,1861.050048828125,1857.199951171875,1859.8800048828125
1859.8800048828125,1862.989990234375,1855.800048828125,1858.510009765625
1858.510009765625,1862.0400390625,1856.6099853515625,1858.1300048828125
1858.5999755859373,1860.1099853515625,1856.4300537109373,1857.9000244140625
1857.8199462890625,1858.9200439453125,1854.72998046875,1856.9200439453125
1856.8299560546875,1860.949951171875,1856.8299560546875,1859.6199951171875
1859.6300048828125,1861.3599853515625,1855.1600341796875,1856.6400146484373
1856.5799560546875,1858.550048828125,1853.1500244140625,1857.1800537109373
1856.9000244140625,1857.1199951171875,1854.489990234375,1854.489990234375
1854.4200439453125,1854.47998046875,1849.6800537109373,1852.0799560546875
1852.3299560546875,1857.1600341796875,1850.2099609375,1856.5400390625
1856.75,1857.489990234375,1854.739990234375,1856.77001953125
1856.77001953125,1858.199951171875,1855.8399658203125,1856.06005859375
1856.0899658203125,1858.5799560546875,1855.0999755859373,1858.3699951171875
1858.3599853515625,1869.300048828125,1857.8800048828125,1865.260009765625
1865.52001953125,1867.489990234375,1863.510009765625,1867.050048828125
1866.8599853515625,1869.5999755859373,1865.4000244140625,1866.0999755859373
1866.2099609375,1868.75,1862.97998046875,1866.3299560546875
1866.5999755859373,1872.6600341796875,1866.25,1871.3599853515625
1871.6300048828125,1874.6199951171875,1870.530029296875,1873.7099609375
1873.699951171875,1874.8499755859373,1872.6099853515625,1873.06005859375
1873.3900146484373,1873.3900146484373,1868.8599853515625,1870.5
1870.510009765625,1872.68994140625,1866.1300048828125,1870.989990234375
1870.97998046875,1875.3599853515625,1870.5,1874.31005859375
1874.3800048828125,1874.6800537109373,1871.5999755859373,1873.050048828125
1873.010009765625,1879.5899658203125,1872.1600341796875,1879.4000244140625
1879.6800537109373,1879.9599609375,1876.1199951171875,1877.0400390625
1877.1300048828125,1879.77001953125,1875.5,1879.1400146484373
1879.1500244140625,1882.4000244140625,1877.2900390625,1880.43994140625
1881.1600341796875,1887.43994140625,1878.6400146484373,1884.6800537109373
1884.8299560546875,1885.780029296875,1881.739990234375,1881.8399658203125
1881.719970703125,1883.6300048828125,1876.9100341796875,1883.3800048828125
1883.6300048828125,1884.6199951171875,1878.989990234375,1879.8499755859373
1879.8699951171875,1880.8800048828125,1877.6400146484373,1879.8299560546875
1879.8399658203125,1884.0,1879.6500244140625,1882.0899658203125
1882.27001953125,1885.8599853515625,1880.699951171875,1884.3199462890625
1884.2099609375,1886.0899658203125,1883.0400390625,1884.2099609375
1884.4100341796875,1891.77001953125,1883.81005859375,1884.8599853515625
1884.8399658203125,1887.22998046875,1880.550048828125,1885.010009765625
1885.0699462890625,1897.8399658203125,1885.0699462890625,1896.93994140625
1897.5799560546875,1914.7099609375,1896.239990234375,1913.2900390625
1914.5899658203125,1925.3599853515625,1907.280029296875,1914.6099853515625
1914.489990234375,1916.030029296875,1909.0999755859373,1909.3499755859373
1909.300048828125,1914.4300537109373,1909.300048828125,1912.739990234375
1912.739990234375,1914.18994140625,1910.2099609375,1912.3599853515625
1912.550048828125,1913.0,1909.699951171875,1912.02001953125
1912.02001953125,1928.25,1912.02001953125,1924.0899658203125
1925.77001953125,1950.97998046875,1925.77001953125,1947.9100341796875
1949.760009765625,1963.81005859375,1945.469970703125,1952.9300537109373
1953.0,1953.0,1937.7099609375,1940.6300048828125
1940.719970703125,1946.3699951171875,1934.3199462890625,1946.300048828125
1946.52001953125,1947.5999755859373,1939.9599609375,1941.5999755859373
1941.719970703125,1948.219970703125,1940.6400146484373,1948.02001953125
1948.06005859375,1959.9000244140625,1946.8900146484373,1951.5400390625
1951.760009765625,1967.8800048828125,1950.5999755859373,1963.9300537109373
1963.9200439453125,1975.6199951171875,1962.0,1966.77001953125
1965.9599609375,1970.0,1960.260009765625,1962.68994140625
1964.0999755859373,1966.9000244140625,1960.5,1963.300048828125
1961.5999755859373,1966.6400146484373,1955.469970703125,1963.4200439453125
1963.0,1970.199951171875,1961.780029296875,1965.9200439453125
1965.4000244140625,1965.4000244140625,1956.43994140625,1957.97998046875
1957.699951171875,1963.030029296875,1942.010009765625,1955.5799560546875
1955.97998046875,1975.699951171875,1948.9000244140625,1959.0899658203125
1959.4599609375,1963.93994140625,1918.199951171875,1930.1700439453125
