Open,High,Low,Close
69298.7890625,69749.9921875,69291.6015625,69387.7734375
69385.7578125,69856.3828125,69239.65625,69678.6796875
69682.296875,69787.1171875,69223.5625,69258.5703125
69245.8671875,69282.921875,68857.28125,69139.9921875
69130.1875,69533.421875,69104.421875,69442.5234375
69445.640625,69633.0703125,69318.0,69374.828125
69368.4609375,69866.296875,69313.96875,69813.9921875
69792.046875,69957.09375,69456.03125,69781.84375
69784.5078125,71519.71875,69736.640625,71225.15625
63018.75,63019.66015625,62992.16015625,63012.9296875
63012.94140625,63016.6484375,62939.41015625,63013.8984375
63010.37109375,63087.08984375,62950.640625,63054.44921875
63054.4609375,63060.55859375,63039.73828125,63059.4296875
63059.421875,63082.5,63016.9296875,63016.9296875
63016.9296875,63030.0,62966.91015625,62997.8203125
62995.0390625,63016.5390625,62979.76953125,62993.71875
62993.71875,63000.01953125,62982.01171875,62991.23046875
62991.23046875,63008.6015625,62987.71875,63001.91015625
63001.8984375,63001.91015625,62897.46875,62917.51171875
62917.51171875,62943.578125,62891.0703125,62940.19921875
62940.19921875,62945.328125,62906.80078125,62945.328125
62950.08984375,62954.98046875,62921.171875,62948.0
62947.98828125,63000.0,62947.1484375,62993.640625
62993.828125,63039.0,62989.75,63034.5390625
63038.37109375,63070.03125,63034.69921875,63070.03125
63074.05859375,63312.76953125,63063.78125,63186.921875
63186.921875,63209.98828125,63048.8515625,63087.41015625
63087.41015625,63112.578125,63050.76171875,63074.2890625
63074.30078125,63162.890625,63025.2890625,63040.171875
63040.05859375,63074.109375,62955.37109375,63000.73046875
62997.44140625,63016.7109375,62740.01171875,62862.80859375
62857.0,62889.05078125,62642.609375,62843.44140625
62839.78125,62924.578125,62756.921875,62836.66015625
62832.5703125,62886.44140625,62681.37890625,62840.55078125
62821.98046875,63170.9609375,62821.98046875,63042.5390625
63049.51953125,63424.8515625,62965.55859375,63336.0
63374.62109375,63459.87890625,63276.94921875,63367.80859375
63388.1796875,63521.08984375,63373.359375,63479.98828125
63481.37109375,63534.25,63380.01953125,63456.6015625
63456.6015625,63653.3515625,63412.671875,63603.33984375
63605.98828125,63605.98828125,63461.4609375,63461.4609375
